,state,stateMinWage,niMinPWage,niMaxPWage,ciMinPWage,ciMaxPWage,meanWage,medianWage,meanPhone,meanPhone15,meanToothpaste,meanRice,meanPen,laborPerDollar,phonePerDollar,laborPerPhone15,laborPerToothpaste,laborPerRice,laborPerPen,penny_j
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,82
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,83
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,84
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,85
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,86
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,87
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,88
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,89
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,90
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,91
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,92
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,93
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,94
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,95
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,96
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,97
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,98
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,99
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,100
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,101
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,102
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,103
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,104
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,105
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,106
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,107
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,108
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,109
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,110
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,111
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,112
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,113
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,114
3,AR,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,4.92,3.4,1.42,1.1,,0.31,,,,,115
