,state,stateMinWage,niMinPWage,niMaxPWage,ciMinPWage,ciMaxPWage,meanWage,medianWage,meanPhone,meanPhone15,meanToothpaste,meanRice,meanPen,laborPerDollar,phonePerDollar,laborPerPhone15,laborPerToothpaste,laborPerRice,laborPerPen,penny_j
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,91
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,92
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,93
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,94
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,95
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,96
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,97
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,98
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,99
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,100
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,101
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,102
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,103
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,104
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,105
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,106
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,107
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,108
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,109
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,110
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,111
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,112
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,113
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,114
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,115
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,116
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,117
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,118
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,119
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,120
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,121
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,122
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,123
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,124
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,125
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,126
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,127
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,128
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,129
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,130
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,131
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,132
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,133
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,134
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,135
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,136
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,137
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,138
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,139
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,140
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,141
27,NV,10.5,,,0.25,5.15,2.7,2.7,0.12,1.8,6.29,2.87,1.38,0.37,8.33,0.67,2.33,1.06,0.51,142
